### USER
Compare esta lista com os arquivos em anexo para localizar as palavras:       Original | Tradução | Arquivo(s) |
|----------|----------|------------|
| activeCapitulo | capituloAtivo | biblia-navegacao.js, versoes.js, versoes_modoleitura.js |
| activeHinario | hinarioAtivo | harpa_cantor.js |
| activeHinoData | dadosHinoAtivo | harpa_cantor.js |
| activeLivro | livroAtivo | biblia-navegacao.js, versoes.js, versoes_modoleitura.js |
| activeVersiculoButton | botaoVersiculoAtivo | biblia-navegacao.js, versoes.js |
| allGlobalTermos | todosTermosGlobais | dicionario.js |
| allTermos | todosTermos | gerenciador_concordancia.js, dicionario.js |
| areaConteudo | areaConteudo | acf.js, ara.js, arc.js, kjv.js, naa.js, ntlh.js, nvi.js, nvt.js, original.js, sobre.js |
| baixar-list | lista-baixar | versoes.css, versoes.html, dropdown.js |
| barraPesquisa | barra-pesquisa | versoes.css, versoes_busca.css, versoes_responsivo.css |
| BIBLE_VERSION | VERSAO_BIBLIA | acf.js, ara.js, arc.js, kjv.js, naa.js, ntlh.js, nvi.js, nvt.js, original.js |
| botao-buscar | botao-buscar | concordancia.css, menu_dicionarioconcordancia.html |
| botao-cantor | botao-cantor | harpa_cantor.html |
| botao-carregar-mais | botao-carregar-mais | concordancia.css, menu_dicionarioconcordancia.html |
| botao-harpa | botao-harpa | harpa_cantor.html |
| botao-letra | botao-letra | menu_dicionarioconcordancia.css, menu_dicionarioconcordancia.html |
| botao-paginacao | botao-paginacao | concordancia.css |
| botao-slide | botao-slide | harpa_cantor.html |
| btn-buscar | botao-buscar | concordancia.css, menu_dicionarioconcordancia.html |
| btn-cantor | botao-cantor | harpa_cantor.html |
| btn-carregar-mais | botao-carregar-mais | concordancia.css, menu_dicionarioconcordancia.html |
| btn-harpa | botao-harpa | harpa_cantor.html |
| btn-letra | botao-letra | menu_dicionarioconcordancia.css, menu_dicionarioconcordancia.html |
| btn-paginacao | botao-paginacao | concordancia.css |
| btn-slide | botao-slide | harpa_cantor.html |
| cabecalho-superior | cabecalho-superior | cmenu_dicionarioconcordancia.txt |
| carregaScriptAssincrono | carregarScriptAssincrono | versoes.js |
| carregarDadosBaseConcordancia | carregarDadosBaseConcordancia | dicionario_concordancia.txt |
| carregarDadosPorLetra | carregarDadosPorLetra | gerenciador_concordancia.js, concordancia-optimizada.js |
| carregarIndiceLetras | carregarIndicePorLetras | gerenciador_concordancia.js, concordancia-optimizada.js |
| chapter-verses | capitulo-versiculos | modo_leitura.css, versoes_modoleitura.js |
| codigoVersao | codigoVersao | versoes.js |
| concordancia-item | item-concordancia | cconcordancia.txt |
| concordancias-content | conteudo-concordancias | cconcordancia.txt, concordancia.css |
| container | conteiner | versoes.css, menu_dicionarioconcordancia.css, versoes.html, menu_dicionarioconcordancia.html |
| container-capitulos | conteiner-capitulos | versoes_botoeacapitulosversiculo.css |
| container-contador | conteiner-contador | concordancia.css, menu_dicionarioconcordancia.html |
| container-resultados | conteiner-resultados | concordancia.css, menu_dicionarioconcordancia.html, concordancia-optimizada.js |
| container-sobre | conteiner-sobre | versoes.css |
| container-titulo | conteiner-titulo | versoes.css, menu_dicionarioconcordancia.css, versoes.html, menu_dicionarioconcordancia.html |
| container-versiculos | conteiner-versiculos | versoes_botoeacapitulosversiculo.css |
| content | areaConteudo | acf.js, ara.js, arc.js, kjv.js, naa.js, ntlh.js, nvi.js, nvt.js, original.js, sobre.js |
| contador | contador | cconcordancia.txt |
| contador-container | contenier-contador | cconcordancia.txt |
| contador-dicionario | contador-dicionario | cmenu_dicionarioconcordancia.txt |
| coro | coro | charpa_cantor.txt |
| createCapitulosButtons | criarBotoesCapitulos | biblia-navegacao.js |
| currentLetter | letraAtual | gerenciador_concordancia.js, dicionario.js, concordancia-optimizada.js |
| currentPage | paginaAtual | gerenciador_concordancia.js, dicionario.js, concordancia-optimizada.js |
| custom-select | selecao-personalizada | concordancia.css, menu_dicionarioconcordancia.html |
| data | dados | acf.js, ara.js, arc.js, kjv.js, naa.js, ntlh.js, nvi.js, nvt.js, original.js |
| DataManager | GerenciadorDados | gerenciador_concordancia.js |
| dicionario-btn | botao-dicionario | dicionario.css, menu_dicionarioconcordancia.html |
| dicionario-busca | dicionario-busca | cdicionario.txt |
| dicionario-busca-grupo | grupo-busca-dicionario | cdicionario.txt |
| dicionario-linha | linha-dicionario | cdicionario.txt |
| dicionario-paginacao-grupo | grupo-paginacao-dicionario | cdicionario.txt |
| dicionario-resultados | resultados-dicionario | cdicionario.txt |
| erro-carregamento | erro-carregamento | charpa_cantor.txt |
| erro-mensagem | mensagemErro | dicionario_concordancia.txt |
| etimologia | etimologia | cdicionario.txt |
| exibirHino | exibirHino | hharpa_cantor.txt |
| existingVersiculoDiv | divVersiculoExistente | acf.js, ara.js, arc.js, kjv.js, naa.js, ntlh.js, nvi.js, nvt.js, original.js |
| expand-indicator | indicador-expansao | concordancia.css, concordancia-optimizada.js, cconcordancia.txt, cmodo_leitura.txt, cslide_biblia.txt, cversoes.txt, slide_harpacantor_interface.txt |
| fetchConcordanciaDataByLetter | buscarDadosConcordanciaPorLetra | dicionario_concordancia.txt |
| filtros-container | conteiner-filtros | cconcordancia.txt |
| filtros-linha | filtros-linha | cconcordancia.txt |
| filtro-grupo | filtro-grupo | cconcordancia.txt |
| filtroPalavra | filtroPalavra | concordancia-optimizada.txt |
| fonte-info | fonte-info | cconcordancia.txt |
| getBookTestament | obterTestamentoDoLivro | concordancia-optimizada.txt |
| getLivroDisplayName | obterNomeExibicaoLivro | biblia-navegacao.js, acf.js, ara.js, arc.js, kjv.js, naa.js, ntlh.js, nvi.js, nvt.js, original.js |
| getSpecificChapterTitle | obterTituloCapituloEspecifico | acf.js, ara.js, arc.js, kjv.js, naa.js, ntlh.js, nvi.js, nvt.js, original.js |
| getSpecificVerseCount | obterContagemVersiculosEspecifica | acf.js, ara.js, arc.js, kjv.js, naa.js, ntlh.js, nvi.js, nvt.js, original.js |
| handleSearch | manipularBusca | dicionario.js |
| hasMore | temMaisResultados | concordancia-optimizada.js, gerenciador_concordancia.js |
| hino-container | conteiner-hino | cantor_cristao.css, harpa_cantor.js |
| initializeDropdowns | inicializarMenusSuspensos | dropdown.js |
| InterfaceManager | GerenciadorInterface | versoes_interface.js |
| isLoading | estaCarregando | concordancia-optimizada.js |
| itemsPerPage | itensPorPagina | gerenciador_concordancia.js, dicionario.js |
| livro-select | selecao-livro | concordancia.css, menu_dicionarioconcordancia.html |
| listaLetras | indiceLetras | gerenciador_concordancia.js, dicionario.js |
| loadBook | carregarLivro | biblia-navegacao.js |
| loadLetterData | carregarDadosPorLetra | gerenciador_concordancia.js |
| loadLetterList | carregarIndiceLetras | gerenciador_concordancia.js |
| loadSpecificVerse | carregarVersiculoEspecifico | acf.js, ara.js, arc.js, kjv.js, naa.js, ntlh.js, nvi.js, nvt.js, original.js |
| loading-indicator | indicador-carregamento | concordancia.css, menu_dicionarioconcordancia.html, concordancia-optimizada.js |
| livroKey | chaveLivro | biblia-navegacao.js |
| MainApp | AppPrincipal | menu_dicionarioconcordancia.js |
| menu-button | botao-menu | cantor_cristao.css, harpa_cantor.html |
| NOME_VERSAO_COMPLETA_BIBLIA | NOME_COMPLETO_VERSAO_BIBLIA | acf.js, ara.js, arc.js, kjv.js, naa.js, ntlh.js, nvi.js, nvt.js, original.js, versoes.js |
| opcoes-menu | menu-opcoes | versoes.css, menu_dicionarioconcordancia.css, versoes.html, menu_dicionarioconcordancia.html |
| palavra-header | palavra-cabecalho | concordancia.css, concordancia-optimizada.js |
| palavra-section | selecao-palavra | concordancia.css, concordancia-optimizada.js |
| performGlobalSearch | executarBuscaGlobal | concordancia-optimizada.js |
| proximo-botao | botao-proximo | slide_biblia.css, slide_biblia_interface.js |
| reading-mode-header | cabecalho-modo-leitura | modo_leitura.css, versoes_modoleitura.js |
| response | resposta | acf.js, ara.js, arc.js, kjv.js, naa.js, ntlh.js, nvi.js, nvt.js, original.js |
| search-btn | botao-busca | concordancia.css |
| search-overlay-content | conteudo-overlay-busca | biblia_realizabusca.css, biblia_realizabusca.js |
| search-overlay-resultado-item | item-resultado-overlay-busca | biblia_realizabusca.css, biblia_realizabusca.js |
| searchTerm | termoBusca | gerenciador_concordancia.js, concordancia-optimizada.js |
| showLoading | mostrarCarregamento | concordancia.js, concordancia-optimizada.js |
| slide-conteudo | conteudo-slide | slide_harpacantor.css |
| slide-container | conteiner-slide | slide_harpacantor.css, slide_biblia.css |
| slide-header | cabecalho-slide | slide_harpacantor.css |
| slide-progresso | progresso-slide | slide_harpacantor.css |
| slide-titulo | titulo-slide | slide_harpacantor.css |
| sobre-content | conteudo-sobre | versoes.css |
| spinner-carregamento | icone-carregamento | concordancia.css, menu_dicionarioconcordancia.html |
| toggleReadingMode | alternarModoLeitura | versoes.js, versoes_modoleitura.js |
| toggleVersiculos | alternarVersiculos | biblia-navegacao.js |
| updateResultsCounter | atualizarContadorResultados | concordancia.js, concordancia-optimizada.js |
| utilidades-list | lista-utilidades | versoes.css, versoes.html, dropdown.js |
| versiculo-container | conteiner-versiculo | slide_biblia.css |
| VersiculosManager | GerenciadorVersiculos | versoes_versiculos.js |
| versiculoElementDiv | divElementoVersiculo | acf.js, ara.js, arc.js, kjv.js, naa.js, ntlh.js, nvi.js, nvt.js, original.js |
| voltar-botao | botao-voltar | slide_biblia.css, slide_biblia_interface.js |
| wrapper-conteudo-dicionario | agrupador-conteudo-dicionario | dicionario.css, menu_dicionarioconcordancia.html |

### ASSISTANT
Após analisar os arquivos fornecidos (`biblia_realizabusca.txt`, `cantor_cristao.txt`, `concordancia.txt`, `cursos.txt` e `dicionario.txt`) e comparar com a lista de termos fornecida, foi possível identificar quais dos termos de **"Original"** estão presentes nos arquivos CSS/estilos fornecidos.

Abaixo está a tabela atualizada, marcando **apenas os arquivos que foram enviados e analisados**, com base na correspondência exata dos termos de **"Original"** como **classes, IDs ou seletores CSS**:

| Original | Tradução | Arquivo(s) |
|----------|----------|------------|
| activeCapitulo | capituloAtivo | *(não encontrado nos arquivos fornecidos)* |
| activeHinario | hinarioAtivo | *(não encontrado nos arquivos fornecidos)* |
| activeHinoData | dadosHinoAtivo | *(não encontrado nos arquivos fornecidos)* |
| activeLivro | livroAtivo | *(não encontrado nos arquivos fornecidos)* |
| activeVersiculoButton | botaoVersiculoAtivo | *(não encontrado nos arquivos fornecidos)* |
| allGlobalTermos | todosTermosGlobais | *(não encontrado nos arquivos fornecidos)* |
| allTermos | todosTermos | *(não encontrado nos arquivos fornecidos)* |
| areaConteudo | areaConteudo | *(não encontrado nos arquivos fornecidos)* |
| baixar-list | lista-baixar | *(não encontrado nos arquivos fornecidos)* |
