Original,Tradução
activeCapitulo,capituloAtivo
activeHinario,hinarioAtivo
activeHinoData,dadosHinoAtivo
activeLivro,livroAtivo
activeVersiculoButton,botaoVersiculoAtivo
allGlobalTermos,todosTermosGlobais
allTermos,todosTermos
areaConteudo,areaConteudo
baixar-list,lista-baixar
barraPesquisa,barra-busca
BIBLE_VERSION,VERSAO_BIBLIA
botao-anterior,botao-anterior
botao-buscar,botao-buscar
botao-cantor,botao-cantor
botao-carregar-mais,botao-carregar-mais
botao-harpa,botao-harpa
botao-letra,botao-letra
botao-menu,botao-menu
botao-paginacao,botao-paginacao
botao-slide,botao-slide
btn-anterior,botao-anterior
btn-buscar,botao-buscar
btn-cantor,botao-cantor
btn-carregar-mais,botao-carregar-mais
btn-harpa,botao-harpa
btn-letra,botao-letra
btn-menu,botao-menu
btn-paginacao,botao-paginacao
btn-proximo,botao-proximo
btn-slide,botao-slide
cabecalho-superior,cabecalho-superior
carregaScriptAssincrono,carregarScriptAssincrono
carregarDadosBaseConcordancia,carregarDadosBaseConcordancia
carregarDadosPorLetra,carregarDadosLetra
carregarIndiceLetras,carregarIndiceLetras
chapter-verses,capitulo-versiculos
codigoVersao,codigoVersao
concordancia-item,item-concordancia
concordancias-content,conteudo-concordancias
container,conteiner
container-capitulos,conteiner-capitulos
container-contador,conteiner-contador
container-filtros,conteiner-filtros
container-resultados,conteiner-resultados
container-sobre,conteiner-sobre
container-titulo,conteiner-titulo
container-versiculos,conteiner-versiculos
content,areaConteudo
contador,contador
contador-container,contenier-contador
contador-dicionario,contador-dicionario
coro,coro
createCapitulosButtons,criarBotoesCapitulos
currentLetter,letraAtual
currentPage,paginaAtual
custom-select,selecao-personalizada
data,dados
DataManager,GerenciadorDados
dicionario-btn,botao-dicionario
dicionario-busca,dicionario-busca
dicionario-busca-grupo,grupo-busca-dicionario
dicionario-linha,linha-dicionario
dicionario-paginacao-grupo,grupo-paginacao-dicionario
dicionario-resultados,resultados-dicionario
erro-carregamento,erro-carregamento
erro-mensagem,mensagemErro
etimologia,etimologia
exibirHino,exibirHino
existingVersiculoDiv,divVersiculoExistente
expand-indicator,indicador-expansao
fetchConcordanciaDataByLetter,buscarDadosConcordanciaPorLetra
filtros-container,conteiner-filtros
filtros-linha,filtros-linha
filtro-grupo,filtro-grupo
filtroPalavra,filtroPalavra
fonte-info,fonte-info
getBookTestament,obterTestamentoLivro
getLivroDisplayName,obterNomeExibicaoLivro
getSpecificChapterTitle,obterTituloCapituloEspecifico
getSpecificVerseCount,obterContagemVersiculosEspecifica
handleSearch,manipularBusca
hasMore,temMaisResultados
hino-container,conteiner-hino
initializeDropdowns,inicializarMenusSuspensos
InterfaceManager,GerenciadorInterface
isLoading,estaCarregando
itemsPerPage,itensPorPagina
livro-select,selecao-livro
listaLetras,indiceLetras
loadBook,carregarLivro
loadLetterData,carregarDadosLetra
loadLetterList,carregarIndiceLetras
loadSpecificVerse,carregarVersiculoEspecifico
loading-indicator,indicador-carregamento
livroKey,chaveLivro
MainApp,AppPrincipal
menu-button,botao-menu
NOME_VERSAO_COMPLETA_BIBLIA,NOME_COMPLETO_VERSAO_BIBLIA
opcoes-menu,menu-opcoes
palavra-header,palavra-cabecalho
palavra-section,selecao-palavra
performGlobalSearch,executarBuscaGlobal
proximo-botao,botao-proximo
reading-mode-header,cabecalho-modo-leitura
response,resposta
search-btn,botao-busca
search-overlay-content,conteudo-overlay-busca
search-overlay-resultado-item,item-resultado-overlay-busca
searchTerm,termoBusca
showLoading,mostrarCarregamento
slide-conteudo,conteudo-slide
slide-container,conteiner-slide
slide-header,cabecalho-slide
slide-progresso,progresso-slide
slide-titulo,titulo-slide
sobre-content,conteudo-sobre
spinner-carregamento,icone-carregamento
toggleReadingMode,alternarModoLeitura
toggleVersiculos,alternarVersiculos
updateResultsCounter,atualizarContadorResultados
utilidades-list,lista-utilidades
versiculo-container,conteiner-versiculo
VersiculosManager,GerenciadorVersiculos
versiculoElementDiv,divElementoVersiculo
voltar-botao,botao-voltar
wrapper-conteudo-dicionario,agrupador-conteudo-dicionario
